character,animation,frames,score,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio
jotaro-kujo,jump,4,1.97640160954915e-05,1.0,1.0000149546127501,0.9999999999999998,1.0000048094033454
pegasus-seiya,backflip,8,1.973631896312611e-05,1.0,1.0000148393271848,0.999995103008222,1.0000048969917783
pegasus-seiya,knockdown,4,1.973631896312611e-05,1.0,1.000014839327185,0.999995103008222,1.000004896991778
pegasus-seiya,cmd:d+2,5,1.9736318963015087e-05,1.0,1.000014839327185,0.999995103008222,1.0000000000000002
kurama,getupStand,8,1.9538959754150653e-05,0.9999852706517736,1.0000049097827421,0.9999951903884723,1.0000048096115275
kurama,jabright,12,1.9538959754150653e-05,0.9999852706517736,1.0000049097827421,0.9999951903884723,1.0000048096115277
kurama,walkForward,8,1.943879048738051e-05,0.9999901803863035,1.0000098196136964,0.9999903808232091,1.0000000000000002
jaguar-junichi,cmd:2+3,9,1.9412887871439466e-05,0.9999902058725587,1.000009794127441,0.9999903812395698,1.0000000000000002
allen-walker,crouchBlock,8,1.9243768587640098e-05,0.9999951885834708,1.0000144342495876,0.9999951904809999,1.000004809519
riven,cmd:FC+1,4,1.8930172182907157e-05,1.0,1.0000117160498168,0.9999975952925447,1.0000072141223662
riven,cmd:FC+2,6,1.893003491870715e-05,0.9999882840874477,1.0000117159125526,0.9999975952925447,1.0000072141223662
gon-freecss,walkForward,8,1.892207042764049e-05,1.0,1.000014112135025,1.0,1.0000048099354026
sanji-vinsmoke,getupStand,8,1.8901386806935427e-05,0.9999883129784374,1.0000116870215625,0.9999975952115854,1.0000072143652443
sanji-vinsmoke,walkForward,8,1.8901352109024216e-05,0.9999883129784374,1.0000116870215625,0.9999927856694536,1.0000024047768485
nami-perfect-clima-tact,getupStand,8,1.8727418620967384e-05,1.0,1.0000091083806208,0.9999999999999998,1.0000096190380001
nami-perfect-clima-tact,cmd:1+3,9,1.872733565910778e-05,0.999990891702341,1.0000000000000002,0.9999999999999998,1.0000096190380001
nami-perfect-clima-tact,jableft,7,1.872733565910778e-05,0.999990891702341,1.0000000000000002,0.9999999999999998,1.0000096190380001
nami-perfect-clima-tact,knockdown,4,1.872733565910778e-05,0.999990891702341,1.0,0.9999999999999998,1.0000096190380001
killua-zoldyck,cmd:1+2,12,1.8642918348854565e-05,0.99998857168979,1.0000114283102102,0.9999975951306206,1.0000072146081387
killua-zoldyck,sprint,10,1.8642918348854565e-05,0.9999885716897902,1.0000114283102102,0.9999975951306206,1.0000072146081387
killua-zoldyck,crouchBlock,8,1.8642918348521498e-05,0.9999885716897902,1.0000000000000002,0.9999975951306206,1.0000072146081387
pegasus-seiya,jableft,4,1.8474959752712294e-05,0.9999962901819666,1.0000111294541003,0.9999975514981158,1.0000073455056524
ryotsu-kankichi,cmd:1+2,6,1.837192223541617e-05,1.0,1.0000159780142523,0.9999976060920169,1.000002393907983
ryotsu-kankichi,idle,4,1.83716784042387e-05,0.9999840222410405,1.0,0.9999976060805552,1.0000023939194447
kenshiro,jabright,5,1.8364055142217062e-05,0.9999921289591335,1.0000078710408664,0.9999999999999999,1.0000104930142757
kenshiro,cmd:1+2,12,1.8363945040067442e-05,0.9999921289591335,1.0,0.9999895070958265,1.0
heihachi-edajima,jableft,4,1.8280040331664082e-05,0.9999955097953813,1.000013470613856,0.9999999999999998,1.0000048094264757
heihachi-edajima,chargeKi,8,1.8280017201166565e-05,0.9999955097953813,1.000013470613856,0.9999951905966548,1.0000000000000002
heihachi-edajima,getupStand,8,1.8280017201166565e-05,0.9999955097953813,1.000013470613856,0.9999951905966548,1.0000000000000002
gintoki-sakata,kickleft,4,1.814320292947702e-05,0.9999947672197714,1.0000156983406852,0.9999975551377557,1.0000024448622442
bobobo-bo-bo-bobo,cmd:3+4,5,1.8122142398491192e-05,0.9999866871684273,1.0000000000000002,0.9999951906891742,1.0000048093108258
kenshin-himura,cmd:1+2,10,1.81073669303089e-05,0.9999955770804305,1.0000132687587076,0.9999999999999998,1.0000048386082228
kenshin-himura,jabright,4,1.81073669303089e-05,0.9999955770804305,1.0000132687587076,1.0,1.0000048386082228
kenshin-himura,walkForward,8,1.8107343518702912e-05,0.9999955770804307,1.0000132687587078,0.9999951614151891,1.0000000000000002
kenshin-himura,cmd:1+4,8,1.8107343518036778e-05,0.9999955770804305,1.0000132687587076,0.9999951614151895,1.0000000000000004
kenshin-himura,chargeKi,8,1.810724955819687e-05,0.9999867313586646,1.000004422880445,0.9999999999999998,1.0000048386082228
nico-robin,sprint,10,1.78958317529343e-05,0.999989158128693,1.000010841871307,0.9999976486798512,1.000007053960446
vegeta,kickleft,6,1.757107029509708e-05,0.9999873380857719,1.0000000000000002,0.999995090843933,1.0000000000000002
ryotsu-kankichi,cmd:1+3,7,1.7564644004264274e-05,0.9999920110566974,1.0000079889433025,0.9999999999999998,1.0000095757007017
ryotsu-kankichi,cmd:2+4,3,1.756455231094467e-05,0.9999920110566977,1.0,0.9999904243909914,1.0000000000000002
gohan-super-saiyan-2,idle,4,1.7538264943439685e-05,0.9999897386432435,1.0000102613567565,0.9999975743639372,1.000007276908187
fuusuke,cmd:3+4,6,1.7538180966170103e-05,1.0,1.0000079180325274,0.9999903798515613,1.0
fuusuke,crouchBlock,8,1.7538180966170103e-05,1.0,1.0000079180325272,0.999990379851561,1.0000000000000002
cygnus-hyoga,crouchBlock,8,1.7490838079226023e-05,0.9999921281536586,1.0000078718463419,1.0,1.0000096189917373
cygnus-hyoga,jabright,8,1.7490838079226023e-05,0.9999921281536586,1.0000078718463419,1.0,1.0000096189917373
cygnus-hyoga,sidestepLeft,8,1.7490838079226023e-05,0.9999921281536586,1.0000078718463419,1.0,1.0000096189917373
