character,animation,frames,silhouette_width_min,silhouette_width_max,height_min,height_max,recorded_center_abs_max
monkey-d-luffy-2nd-gear,cmd:2+4,7,0.61403,1.39064,0.7277699999999999,1.95213,0.0575766865
goku-super-saiyan,backflip,8,1.22521,2.77329,1.06805,1.8902,0.5500621584
anna-kyoyama,crouchBlock,8,1.46633,3.31144,1.88011,2.51002,0.15031250000000002
nami-perfect-clima-tact,cmd:2+4,6,0.7554000000000001,1.6983699999999997,1.4425500000000002,1.83806,0.24383820120000002
raoh,backflip,8,0.8302099999999999,1.8569499999999999,0.7860299999999999,2.0186100000000002,0.084440655
vegito,cmd:2+4,5,0.96895,2.16269,1.28658,2.42585,0.46365734490000005
kenshin-himura,cmd:3+4,13,1.0958700000000001,2.43694,1.6141,2.5662800000000003,0.3068156
roronoa-zoro,cmd:3+4,12,1.1359599999999999,2.5246899999999997,1.3515400000000002,2.2873,0.277332
raoh,crouchBlock,8,1.08229,2.40204,1.79248,2.16592,0.07548
caramelman-j,sprint,10,2.11781,4.69834,1.83699,6.140560000000001,0.316309917
yusuke-urameshi,cmd:1+2,10,1.10373,2.44791,1.93212,2.63485,0.25046735999999997
raoh,jableft,8,0.8449200000000001,1.87355,1.6217700000000002,2.21795,0.13867
hiei,cmd:3+4,6,1.0659,2.36036,1.16511,2.23156,0.2681575344
jaguar-junichi,cmd:1+3,16,0.92782,2.05281,1.6052600000000001,2.52679,0.2077686
jaguar-junichi,jableft,5,0.92782,2.05281,1.7568400000000002,2.52679,0.1579903
vegeta,cmd:1+3,4,1.1724899999999998,2.5932500000000003,1.31281,2.9327,0.2779617914
lenalee-lee,cmd:1+4,9,0.92248,2.0346,1.2059900000000001,2.13912,0.21520641999999998
kazuki-muto,backflip,8,1.44854,3.19397,0.98004,3.03685,0.2686555844
nico-robin,cmd:3+4,11,0.8592900000000001,1.8918499999999998,1.14775,1.9059,0.11673792449999999
riven,cmd:2+4,5,0.9341,2.046,1.75749,2.6611599999999997,0.12281225000000001
heihachi-edajima,cmd:2+3,4,1.3404699999999998,2.93526,1.8825900000000002,6.23874,0.6420832
riven,cmd:1+2,11,1.111,2.4322999999999997,1.5065600000000001,2.32462,0.48933560000000004
lenalee-lee,crouchBlock,8,0.92696,2.02143,0.75046,2.06984,0.39241502670000006
kakashi-hatake,knockdown,4,1.17123,2.5515600000000003,0.47978,1.1873300000000002,0.14302259820000002
jaguar-junichi,jabright,4,1.0680300000000003,2.32257,1.62868,2.09027,0.4355876493
rukia-kuchiki,jableft,7,1.3182500000000001,2.8578400000000004,2.00056,2.72879,0.2407975962
pegasus-seiya,cmd:1+2,6,1.16925,2.52678,1.86261,2.52366,0.1803327803
kakashi-hatake,walkForward,8,1.3119299999999998,2.8321500000000004,1.55373,2.64222,0.3683214136
majin-buu,cmd:2+4,8,1.24658,2.69,1.79934,2.4789399999999997,0.211249675
majin-buu,kickright,8,1.24658,2.69,1.79934,2.4789399999999997,0.211249675
ichigo-kurosaki,getupStand,7,0.92721,1.9971200000000002,0.34752,1.95238,0.181642643
kenshin-himura,cmd:1+4,8,1.12717,2.4221999999999997,1.4799799999999999,2.7683200000000006,0.351247176
roronoa-zoro,chargeKi,7,1.03944,2.23063,1.89387,2.37622,0.194057628
nico-robin,knockdown,4,0.92713,1.9867399999999997,0.50048,1.23913,0.11465999999999998
taikoubou,cmd:1+2,13,0.9399200000000001,2.00497,1.7629,2.42587,0.2199648927
vegito,getupStand,9,1.32281,2.80807,0.65743,2.10899,0.49157500000000004
train-heartnet,cmd:1+2,6,0.76198,1.6175100000000002,1.3896000000000002,1.83663,0.1069472
monkey-d-luffy,sprint,10,0.82988,1.7533,0.52155,2.35922,0.1881386
piccolo,backflip,8,1.17841,2.48034,1.29482,2.6524900000000002,0.1814658434
kenshin-himura,cmd:1+2,10,1.3952200000000001,2.9344099999999997,1.73375,2.7683200000000006,0.34593812479999997
kenshiro,sprint,10,0.9272,1.9499,0.2026,2.25252,0.19083518249999998
kenshin-himura,backflip,8,1.10975,2.3271,1.7261400000000002,2.41359,0.4988479742
rukia-kuchiki,kickleft,5,1.2177799999999999,2.5492600000000003,2.33903,2.8949,0.297544975
riven,cmd:3+4,5,1.16222,2.4322999999999997,1.31129,2.0791700000000004,0.1615725174
sakura-haruno,backflip,8,0.81875,1.71081,0.63324,2.68576,0.47540192130000003
nami,cmd:1+4,15,1.19233,2.48666,1.16173,2.2275300000000002,0.1086588437
heihachi-edajima,getupStand,8,1.10262,2.29897,0.63295,2.0588800000000003,0.28137318
momotaro-tsurugi,sidestepRight,5,1.1410299999999998,2.37819,2.07237,2.9333,0.4882900748
jaguar-junichi,crouchBlock,8,0.85663,1.7806800000000003,0.5202899999999999,2.09615,0.1955352
hiei,cmd:1+4,6,1.3110499999999998,2.71533,1.44133,2.07923,0.2079372944
hiei,jabright,6,1.3110499999999998,2.71533,1.44133,2.07923,0.2079372944
gotenks,jabright,5,0.9632800000000001,1.99216,1.80135,2.61052,0.117520416
killua-zoldyck,sprint,10,0.9529099999999999,1.96928,0.2987,2.54697,0.2105067099
heihachi-edajima,cmd:1+2,8,1.06602,2.20075,1.56726,1.92629,0.2717786337
hiei,crouchBlock,8,1.2927,2.6653000000000002,1.2572199999999998,2.66529,0.2038680222
kiro,kickleft,5,1.20907,2.4812100000000004,1.7409400000000002,2.49891,0.2177313344
caramelman-j,jump,8,1.8887999999999998,3.8694699999999997,1.96212,3.69083,0.4233736284
ryotsu-kankichi,cmd:2+3,5,1.5497199999999998,3.17051,2.01404,3.0999999999999996,0.2466975315
eve,jableft,6,1.4407,2.9429600000000002,1.6633300000000002,2.13924,0.6567026234999999
sanji-vinsmoke,walkForward,8,0.8717600000000001,1.77642,1.2669300000000001,1.71676,0.057616879
yasutora-sado,backflip,8,0.97897,1.9937,1.4555,2.1067199999999997,0.06484224000000001
goku-super-saiyan,getupStand,8,1.36205,2.77329,0.66545,2.00422,0.5500621584
