character,animation,frames,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio,scale_min,scale_max,score
allen-walker,backflip,4,0.7283104966878491,1.1128680065581324,0.7766090915973567,1.357239425042451,0.85526,1.20714,0.6961931270297417
allen-walker,chargeKi,4,0.8338997512932268,1.255576510057353,0.9293137391373515,1.1163600930658022,1.12381,1.35,0.38280099910021403
allen-walker,cmd:1+2,13,0.7379952370642997,1.7206562266964953,0.7936114532781249,1.3885813508259006,0.77153,1.35,1.1102100868437978
allen-walker,crouchBlock,8,0.6579692925358859,1.322063778360653,0.779339607899703,1.349594316829541,0.79762,1.35,0.8310027413080096
allen-walker,getupStand,8,0.5230679404451514,1.422168980339652,0.5974010957431976,1.414195689804691,0.75,1.06667,0.8586899255376003
allen-walker,idle,6,0.9811393379522712,1.0811778290993073,0.9999951904810002,1.1019666123191019,1.0,1.10196,0.20165330977868626
allen-walker,jableft,5,0.8014523261448994,1.1352298885388903,0.8816722617415614,1.1511371854794314,0.78571,1.02579,0.3903057897924918
allen-walker,jump,5,0.518731477609498,1.1511290703805386,0.9086384342837863,1.0494436699137757,0.98438,1.1369,0.45638267915051484
allen-walker,knockdown,4,0.9999974833207079,1.1904748722156089,0.9474762947541019,1.2752073871910765,0.75,0.89286,0.46092231052044186
allen-walker,sprint,2,0.9814674424688691,1.018532557531131,0.997242582603305,1.002757417396695,0.97017,1.00679,0.032186951915373775
allen-walker,walkForward,8,0.6534457098219792,1.0888656826871685,0.5439160280667059,1.0673715035463691,0.75,1.35,0.9640165460401066
anna-kyoyama,backflip,8,0.5267602022126163,1.713623708696608,0.5747861053721128,1.1530019181716988,0.75,1.35,1.153388119845852
anna-kyoyama,cmd:2+3,5,0.877617695594437,1.1021352728404183,0.7613435302031086,1.0979913336355347,0.75128,1.08333,0.4781108524402291
anna-kyoyama,crouchBlock,8,0.685411328987088,1.8144390045914616,0.8115665212367474,1.2211698511839737,0.8665,1.35,0.9515832539388506
anna-kyoyama,getupStand,8,0.6681968615903457,1.0741213333836688,0.7487228981070615,1.4129817643044837,0.75,0.90132,0.6877236473502764
anna-kyoyama,idle,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
anna-kyoyama,jabright,7,0.40393959055287615,1.0693883408929858,0.7729037460530309,1.2715424098143053,0.8665,1.35,0.8709286554825796
anna-kyoyama,juggle,2,0.6571547551593019,1.3428452448406984,0.7208196788558041,1.2791803211441959,0.76067,1.35,0.779552468048615
anna-kyoyama,jump,3,0.5375891464651819,1.0625009463531334,0.5555876201978744,1.000024939166248,0.75,1.35,1.0218588919230165
anna-kyoyama,knockdown,4,0.9999924499621239,1.0740834883188333,0.945398632823657,1.2647047622674563,0.75,0.80556,0.3369348552587563
anna-kyoyama,sprint,10,0.718944806706447,1.485122650365296,0.4263145776271793,1.9291446009615554,0.75,1.35,1.5202181911807329
anna-kyoyama,walkForward,6,0.6065296477756434,1.0792825445014642,0.7025307842168551,1.0465347365281183,0.90625,1.35,0.7554264271177589
arale-norimaki,backflip,8,0.8131108182518038,1.3967366484426986,0.8661559653228326,1.336233338624691,0.81373,1.25521,0.79501532769031
arale-norimaki,cmd:1+2,6,0.7747952110901071,1.1699473112657364,0.9170721845985011,1.1578910454627032,1.06923,1.35,0.433398918808639
arale-norimaki,cmd:3+4,5,0.8750407970983257,1.0182709419973028,0.9440216813689022,1.1027367414177915,0.85455,0.99825,0.2495622631587961
arale-norimaki,crouchBlock,8,0.8850938981666027,1.4170947894873667,0.8725568856510157,1.176958732400178,0.91548,1.23485,0.5869006060925981
arale-norimaki,getupStand,4,0.9575862475043889,1.0880673493253292,0.7444300048733553,1.0642845539630374,0.75,0.81944,0.3431304047218422
arale-norimaki,idle,4,0.9879514508907942,1.018592253289413,0.999985570054978,1.0555649082976992,1.0,1.05556,0.09450026027134702
arale-norimaki,jableft,3,0.839068750729528,1.214693492078651,0.9300143376516976,1.095422192636592,1.04839,1.23485,0.3174682878837825
arale-norimaki,jabright,5,0.9792022982362374,1.1414083377872795,0.9152753316895623,1.3169484560291185,0.75,1.07906,0.566323458701486
