id,displayName,key,frame,reason,score,heightRatio,seqMedianH,widthRatio,seqMedianW,scale
raoh,Raoh,sprint,36,row-width-extreme,1.429,1.000,1.000,2.429,2.019,1
raoh,Raoh,sprint,37,row-width-extreme,1.429,1.000,1.000,2.429,2.019,1
raoh,Raoh,sprint,38,row-width-extreme,1.429,1.000,1.000,1.000,2.019,1
raoh,Raoh,sprint,39,row-width-extreme,1.429,1.000,1.000,1.000,2.019,1
anna-kyoyama,Anna Kyoyama,sprint,37,row-width-extreme,1.428,1.000,1.000,2.428,1.744,1
anna-kyoyama,Anna Kyoyama,sprint,38,row-width-extreme,1.428,1.000,1.000,1.000,1.744,1
vegeta,Vegeta,sprint,30,row-width-extreme,1.419,1.000,1.000,2.419,1.000,1
vegeta,Vegeta,sprint,33,row-width-extreme,1.419,1.000,1.000,1.000,1.000,1
vegeta,Vegeta,sprint,36,row-width-extreme,1.419,1.000,1.000,1.000,1.000,1
kagura,Kagura,sprint,32,row-width-extreme,1.418,1.000,1.000,2.418,1.938,1
kagura,Kagura,sprint,39,row-width-extreme,1.418,1.000,1.000,1.000,1.938,1
kurama,Kurama,cmd:2+3,162,row-width-extreme,1.413,1.000,1.000,1.000,1.433,1
kurama,Kurama,cmd:2+3,174,row-width-extreme,1.413,1.000,1.000,2.413,1.433,1
kinnikuman,Kinnikuman,sprint,39,row-width-extreme,1.410,1.000,1.000,1.000,2.285,1
eve,Eve,jableft,81,row-width-extreme,1.401,1.000,1.000,2.401,1.389,1
eve,Eve,jableft,83,row-width-extreme,1.401,1.000,1.000,1.000,1.389,1
kenshin-himura,Kenshin Himura,jableft,74,row-width-extreme,1.388,1.000,1.000,1.000,1.530,1
kenshin-himura,Kenshin Himura,jableft,75,row-width-extreme,1.388,1.000,1.000,2.388,1.530,1
frieza,Frieza,jableft,80,row-width-extreme,1.377,1.000,1.000,2.377,1.462,1
frieza,Frieza,jableft,83,row-width-extreme,1.377,1.000,1.000,1.000,1.462,1
frieza,Frieza,kickright,134,row-width-extreme,1.377,1.000,1.000,2.377,1.462,1
frieza,Frieza,kickright,137,row-width-extreme,1.377,1.000,1.000,1.000,1.462,1
frieza,Frieza,cmd:3+4,80,row-width-extreme,1.377,1.000,1.000,2.377,1.468,1
frieza,Frieza,cmd:3+4,83,row-width-extreme,1.377,1.000,1.000,1.000,1.468,1
eve,Eve,cmd:3+4,137,row-width-extreme,1.374,1.000,1.000,1.000,1.455,1
eve,Eve,cmd:3+4,141,row-width-extreme,1.374,1.000,1.000,2.374,1.455,1
eve,Eve,cmd:3+4,137,row-width-extreme,1.374,1.000,1.000,1.000,1.455,1
majin-buu,Majin Buu,sprint,32,row-width-extreme,1.359,1.000,1.000,2.359,1.000,1
majin-buu,Majin Buu,sprint,33,row-width-extreme,1.359,1.000,1.000,2.359,1.000,1
majin-buu,Majin Buu,sprint,36,row-width-extreme,1.359,1.000,1.000,1.000,1.000,1
majin-buu,Majin Buu,sprint,39,row-width-extreme,1.359,1.000,1.000,1.000,1.000,1
naruto-uzumaki-nine-tails-kyubi,Naruto Uzumaki (Nine-Tails_Kyubi),sprint,35,tiny-pop,1.236,0.550,0.680,1.061,1.050,0.55
yugi-mutou,Yugi Mutou,sprint,30,tiny-pop,1.236,0.550,0.680,3.067,3.061,0.55
naruto-uzumaki-nine-tails-kyubi,Naruto Uzumaki (Nine-Tails_Kyubi),sprint,34,tiny-pop,1.214,0.560,0.680,1.050,1.050,0.56
hiei,Hiei,sprint,32,tiny-pop,1.214,0.560,0.680,2.174,2.057,0.56
hiei,Hiei,sprint,34,tiny-pop,1.214,0.560,0.680,2.174,2.057,0.56
franky,Franky,knockdown,31,very-low-scale,0.130,0.420,0.550,1.093,1.093,0.42
franky,Franky,getupStand,31,very-low-scale,0.130,0.420,1.000,1.093,1.087,0.42
goku-super-saiyan,Goku (Super Saiyan),knockdown,31,very-low-scale,0.130,0.420,0.510,1.606,1.578,0.42
goku-super-saiyan,Goku (Super Saiyan),getupStand,31,very-low-scale,0.130,0.420,1.000,1.606,1.000,0.42
ichigo-kurosaki,Ichigo Kurosaki,lose,31,very-low-scale,0.130,0.420,0.420,1.155,1.155,0.42
jaguar-junichi,Jaguar Junichi,knockdown,33,very-low-scale,0.130,0.420,0.420,1.838,1.839,0.42
jaguar-junichi,Jaguar Junichi,getupStand,33,very-low-scale,0.130,0.420,0.470,1.838,1.819,0.42
kagura,Kagura,knockdown,34,very-low-scale,0.130,0.420,0.770,1.197,1.383,0.42
kagura,Kagura,getupStand,34,very-low-scale,0.130,0.420,1.000,1.197,1.197,0.42
