id,displayName,key,frame,reason,score,heightRatio,seqMedianH,widthRatio,seqMedianW,scale
roronoa-zoro,Roronoa Zoro,getupStand,33,very-low-scale,0.080,0.470,1.000,1.048,1.034,0.47
sanji-vinsmoke,Sanji Vinsmoke,knockdown,36,very-low-scale,0.080,0.470,0.520,2.200,2.199,0.47
sanji-vinsmoke,Sanji Vinsmoke,getupStand,36,very-low-scale,0.080,0.470,1.000,2.200,2.191,0.47
toshiro-hitsugaya,Tōshirō Hitsugaya,knockdown,32,very-low-scale,0.080,0.470,0.430,0.839,0.847,0.47
toshiro-hitsugaya,Tōshirō Hitsugaya,getupStand,32,very-low-scale,0.080,0.470,0.840,0.839,0.840,0.47
train-heartnet,Train Heartnet,knockdown,35,very-low-scale,0.080,0.470,0.470,2.336,2.331,0.47
train-heartnet,Train Heartnet,getupStand,35,very-low-scale,0.080,0.470,1.000,2.336,2.296,0.47
vegeta-super-saiyan,Vegeta (Super Saiyan),knockdown,30,very-low-scale,0.080,0.470,0.470,1.929,1.929,0.47
vegeta-super-saiyan,Vegeta (Super Saiyan),knockdown,31,very-low-scale,0.080,0.470,0.470,1.929,1.929,0.47
vegeta-super-saiyan,Vegeta (Super Saiyan),getupStand,30,very-low-scale,0.080,0.470,1.000,1.929,1.000,0.47
vegeta-super-saiyan,Vegeta (Super Saiyan),getupStand,31,very-low-scale,0.080,0.470,1.000,1.929,1.000,0.47
gon-freecss,Gon Freecss,knockdown,34,very-low-prone-scale,0.080,0.340,0.370,1.323,1.334,0.34
gon-freecss,Gon Freecss,knockdown,36,very-low-prone-scale,0.080,0.340,0.370,1.340,1.334,0.34
gon-freecss,Gon Freecss,getupStand,34,very-low-prone-scale,0.080,0.340,1.000,1.323,1.319,0.34
gon-freecss,Gon Freecss,getupStand,36,very-low-prone-scale,0.080,0.340,1.000,1.340,1.319,0.34
