id,displayName,key,frame,scale,renderWidth,renderHeight,idleWidth,idleHeight,widthRatio,heightRatio
allen-walker,"Allen Walker",idle,0,1,1.0392,2.0792100000000002,1.0392,2.07921,1,1.0000000000000002
allen-walker,"Allen Walker",idle,1,1,1.0392,2.0792100000000002,1.0392,2.07921,1,1.0000000000000002
allen-walker,"Allen Walker",idle,2,1,1.0392,2.07921,1.0392,2.07921,1,1
allen-walker,"Allen Walker",idle,3,1,1.0392,2.07921,1.0392,2.07921,1,1
allen-walker,"Allen Walker",idle,2,1,1.0392,2.07921,1.0392,2.07921,1,1
allen-walker,"Allen Walker",idle,1,1,1.0392,2.0792100000000002,1.0392,2.07921,1,1.0000000000000002
allen-walker,"Allen Walker",walkForward,4,1,1.0392000000000001,2.07921,1.0392,2.07921,1.0000000000000002,1
allen-walker,"Allen Walker",walkForward,5,1,1.0391899999999998,2.0792200000000003,1.0392,2.07921,0.9999903772132409,1.0000048095190002
allen-walker,"Allen Walker",walkForward,6,1,1.03921,2.0791999999999997,1.0392,2.07921,1.0000096227867592,0.9999951904809999
allen-walker,"Allen Walker",walkForward,7,1,1.03919,2.0792200000000003,1.0392,2.07921,0.9999903772132411,1.0000048095190002
allen-walker,"Allen Walker",walkForward,8,1,1.0392000000000001,2.07921,1.0392,2.07921,1.0000000000000002,1
allen-walker,"Allen Walker",walkForward,9,1,1.0391899999999998,2.0792200000000003,1.0392,2.07921,0.9999903772132409,1.0000048095190002
allen-walker,"Allen Walker",walkForward,10,1,1.0391899999999998,2.07922,1.0392,2.07921,0.9999903772132409,1.000004809519
allen-walker,"Allen Walker",walkForward,11,1,1.0392000000000001,2.07922,1.0392,2.07921,1.0000000000000002,1.000004809519
allen-walker,"Allen Walker",walkBack,14,1,1.03921,2.07921,1.0392,2.07921,1.0000096227867592,1
allen-walker,"Allen Walker",sprint,12,1,3.11951,2.0792100000000002,1.0392,2.07921,3.001837952270978,1.0000000000000002
allen-walker,"Allen Walker",sprint,13,1,2.9894,2.07921,1.0392,2.07921,2.876635873749038,1
allen-walker,"Allen Walker",backflip,45,1,1.03919,2.07921,1.0392,2.07921,0.9999903772132411,1
allen-walker,"Allen Walker",backflip,46,1,1.03921,2.07921,1.0392,2.07921,1.0000096227867592,1
allen-walker,"Allen Walker",backflip,47,1,1.03919,2.07922,1.0392,2.07921,0.9999903772132411,1.000004809519
allen-walker,"Allen Walker",backflip,48,1,1.03921,2.07921,1.0392,2.07921,1.0000096227867592,1
allen-walker,"Allen Walker",sidestepLeft,145,1,1.03919,2.07922,1.0392,2.07921,0.9999903772132411,1.000004809519
allen-walker,"Allen Walker",sidestepRight,145,1,1.03919,2.07922,1.0392,2.07921,0.9999903772132411,1.000004809519
allen-walker,"Allen Walker",jump,17,1,1.03921,2.07921,1.0392,2.07921,1.0000096227867592,1
allen-walker,"Allen Walker",jump,18,1,1.0392,2.07922,1.0392,2.07921,1,1.000004809519
allen-walker,"Allen Walker",jump,19,1,1.0392,2.0792100000000002,1.0392,2.07921,1,1.0000000000000002
allen-walker,"Allen Walker",jump,20,1,1.0392,2.0791999999999997,1.0392,2.07921,1,0.9999951904809999
allen-walker,"Allen Walker",jump,21,1,1.03919,2.0792100000000002,1.0392,2.07921,0.9999903772132411,1.0000000000000002
allen-walker,"Allen Walker",crouch,22,0.64,0.6650816,1.3306944000000003,1.0392,2.07921,0.6399938414164743,0.6400000000000002
allen-walker,"Allen Walker",crouchBlock,90,1,1.0392,2.07922,1.0392,2.07921,1,1.000004809519
allen-walker,"Allen Walker",crouchBlock,91,1,1.03921,2.0792,1.0392,2.07921,1.0000096227867592,0.9999951904810002
allen-walker,"Allen Walker",crouchBlock,92,1,1.0392,2.0792,1.0392,2.07921,1,0.9999951904810002
allen-walker,"Allen Walker",crouchBlock,93,1,1.03919,2.0792200000000003,1.0392,2.07921,0.9999903772132411,1.0000048095190002
allen-walker,"Allen Walker",crouchBlock,95,1,1.0391899999999998,2.0792100000000002,1.0392,2.07921,0.9999903772132409,1.0000000000000002
allen-walker,"Allen Walker",crouchBlock,96,1,1.0391899999999998,2.0792,1.0392,2.07921,0.9999903772132409,0.9999951904810002
allen-walker,"Allen Walker",crouchBlock,97,1,1.0391899999999998,2.07922,1.0392,2.07921,0.9999903772132409,1.000004809519
allen-walker,"Allen Walker",crouchBlock,98,1,1.0392,2.0792100000000002,1.0392,2.07921,1,1.0000000000000002
allen-walker,"Allen Walker",block,15,1,1.03921,2.07921,1.0392,2.07921,1.0000096227867592,1
allen-walker,"Allen Walker",chargeKi,60,1,1.03921,2.0792200000000003,1.0392,2.07921,1.0000096227867592,1.0000048095190002
allen-walker,"Allen Walker",chargeKi,61,1,1.03921,2.0792100000000002,1.0392,2.07921,1.0000096227867592,1.0000000000000002
allen-walker,"Allen Walker",chargeKi,62,1,1.03919,2.0792,1.0392,2.07921,0.9999903772132411,0.9999951904810002
allen-walker,"Allen Walker",chargeKi,63,1,1.0392,2.07922,1.0392,2.07921,1,1.000004809519
allen-walker,"Allen Walker",jableft,74,1,1.42439,2.07922,1.0392,2.07921,1.3706601231716706,1.000004809519
allen-walker,"Allen Walker",jableft,75,1,1.55923,2.0792200000000003,1.0392,2.07921,1.500413779830639,1.0000048095190002
allen-walker,"Allen Walker",jableft,76,1,1.68092,2.07921,1.0392,2.07921,1.6175134719014628,1
allen-walker,"Allen Walker",jableft,77,1,1.68092,2.07921,1.0392,2.07921,1.6175134719014628,1
allen-walker,"Allen Walker",jableft,78,1,1.0392,2.0792200000000003,1.0392,2.07921,1,1.0000048095190002
allen-walker,"Allen Walker",hitLight,26,1,1.03921,2.0792200000000003,1.0392,2.07921,1.0000096227867592,1.0000048095190002
allen-walker,"Allen Walker",juggle,28,1,1.03919,2.07921,1.0392,2.07921,0.9999903772132411,1
allen-walker,"Allen Walker",knockdown,31,1,1.03919,2.07921,1.0392,2.07921,0.9999903772132411,1
allen-walker,"Allen Walker",knockdown,32,1,1.0392000000000001,2.0792100000000002,1.0392,2.07921,1.0000000000000002,1.0000000000000002
allen-walker,"Allen Walker",knockdown,33,1,1.03919,2.0792100000000002,1.0392,2.07921,0.9999903772132411,1.0000000000000002
allen-walker,"Allen Walker",knockdown,34,1,1.03919,2.0792100000000002,1.0392,2.07921,0.9999903772132411,1.0000000000000002
allen-walker,"Allen Walker",getupStand,32,1,1.0392000000000001,2.0792100000000002,1.0392,2.07921,1.0000000000000002,1.0000000000000002
allen-walker,"Allen Walker",getupStand,33,1,1.03919,2.0792100000000002,1.0392,2.07921,0.9999903772132411,1.0000000000000002
allen-walker,"Allen Walker",getupStand,34,1,1.03919,2.0792100000000002,1.0392,2.07921,0.9999903772132411,1.0000000000000002
allen-walker,"Allen Walker",getupStand,53,1,1.0392000000000001,2.0792200000000003,1.0392,2.07921,1.0000000000000002,1.0000048095190002
allen-walker,"Allen Walker",getupStand,54,1,1.0392,2.0791999999999997,1.0392,2.07921,1,0.9999951904809999
allen-walker,"Allen Walker",getupStand,55,1,1.0392,2.0792100000000002,1.0392,2.07921,1,1.0000000000000002
allen-walker,"Allen Walker",getupStand,56,1,1.0392,2.0792,1.0392,2.07921,1,0.9999951904810002
allen-walker,"Allen Walker",getupStand,57,1,1.0392,2.0792100000000002,1.0392,2.07921,1,1.0000000000000002
allen-walker,"Allen Walker",win,78,1,1.0392,2.0792200000000003,1.0392,2.07921,1,1.0000048095190002
allen-walker,"Allen Walker",lose,30,1,1.03921,2.07921,1.0392,2.07921,1.0000096227867592,1
allen-walker,"Allen Walker",cmd:f+1,251,1,1.0392100000000002,2.0792,1.0392,2.07921,1.0000096227867594,0.9999951904810002
allen-walker,"Allen Walker",cmd:f+1,252,1,1.0392,2.0791999999999997,1.0392,2.07921,1,0.9999951904809999
allen-walker,"Allen Walker",cmd:f+1,253,1,1.03919,2.0792100000000002,1.0392,2.07921,0.9999903772132411,1.0000000000000002
allen-walker,"Allen Walker",cmd:f+1,254,1,1.0392000000000001,2.0792200000000003,1.0392,2.07921,1.0000000000000002,1.0000048095190002
allen-walker,"Allen Walker",cmd:f+1,255,1,1.03919,2.0792100000000002,1.0392,2.07921,0.9999903772132411,1.0000000000000002
allen-walker,"Allen Walker",cmd:f+1,256,1,1.0392,2.0792200000000003,1.0392,2.07921,1,1.0000048095190002
allen-walker,"Allen Walker",cmd:f+1,257,1,1.0392,2.0792200000000003,1.0392,2.07921,1,1.0000048095190002
allen-walker,"Allen Walker",cmd:f+1,258,1,1.0392,2.0792,1.0392,2.07921,1,0.9999951904810002
allen-walker,"Allen Walker",cmd:f+1,259,1,1.03919,2.0792200000000003,1.0392,2.07921,0.9999903772132411,1.0000048095190002
allen-walker,"Allen Walker",cmd:f+1,260,1,1.0392000000000001,2.0792200000000003,1.0392,2.07921,1.0000000000000002,1.0000048095190002
allen-walker,"Allen Walker",cmd:qcf+4,80,1,1.0392100000000002,2.0792,1.0392,2.07921,1.0000096227867594,0.9999951904810002
allen-walker,"Allen Walker",cmd:qcf+4,81,1,1.0392,2.0791999999999997,1.0392,2.07921,1,0.9999951904809999
allen-walker,"Allen Walker",cmd:qcf+4,82,1,1.03919,2.0792100000000002,1.0392,2.07921,0.9999903772132411,1.0000000000000002
allen-walker,"Allen Walker",cmd:qcf+4,83,1,1.0392000000000001,2.0792200000000003,1.0392,2.07921,1.0000000000000002,1.0000048095190002
allen-walker,"Allen Walker",cmd:qcf+4,84,1,1.03919,2.0792100000000002,1.0392,2.07921,0.9999903772132411,1.0000000000000002
allen-walker,"Allen Walker",cmd:qcf+4,85,1,1.0392,2.0792200000000003,1.0392,2.07921,1,1.0000048095190002
allen-walker,"Allen Walker",cmd:qcf+4,86,1,1.0392,2.0792200000000003,1.0392,2.07921,1,1.0000048095190002
allen-walker,"Allen Walker",cmd:qcf+4,87,1,1.0392,2.0792,1.0392,2.07921,1,0.9999951904810002
allen-walker,"Allen Walker",cmd:qcf+4,88,1,1.03919,2.0792200000000003,1.0392,2.07921,0.9999903772132411,1.0000048095190002
allen-walker,"Allen Walker",cmd:qcf+4,89,1,1.0392000000000001,2.0792200000000003,1.0392,2.07921,1.0000000000000002,1.0000048095190002
allen-walker,"Allen Walker",cmd:1+2,91,1,1.03921,2.0792,1.0392,2.07921,1.0000096227867592,0.9999951904810002
allen-walker,"Allen Walker",cmd:1+2,92,1,1.0392,2.0792,1.0392,2.07921,1,0.9999951904810002
allen-walker,"Allen Walker",cmd:1+2,93,1,1.03919,2.0792200000000003,1.0392,2.07921,0.9999903772132411,1.0000048095190002
allen-walker,"Allen Walker",cmd:1+2,94,1,1.8530900000000001,2.0792,1.0392,2.07921,1.7831889915319479,0.9999951904810002
allen-walker,"Allen Walker",cmd:1+2,95,1,1.0391899999999998,2.0792100000000002,1.0392,2.07921,0.9999903772132409,1.0000000000000002
allen-walker,"Allen Walker",cmd:1+2,96,1,1.0391899999999998,2.0792,1.0392,2.07921,0.9999903772132409,0.9999951904810002
allen-walker,"Allen Walker",cmd:1+2,97,1,1.0391899999999998,2.07922,1.0392,2.07921,0.9999903772132409,1.000004809519
allen-walker,"Allen Walker",cmd:1+2,98,1,1.0392,2.0792100000000002,1.0392,2.07921,1,1.0000000000000002
