id,displayName,key,frame,scale,renderWidth,renderHeight,idleWidth,idleHeight,widthRatio,heightRatio
anna-kyoyama,"Anna Kyoyama",jabright,88,1,3.63924,2.07917,1.62157,2.0791700000000004,2.2442694425772554,0.9999999999999998
anna-kyoyama,"Anna Kyoyama",jabright,89,1,1.6215700000000002,2.07917,1.62157,2.0791700000000004,1.0000000000000002,0.9999999999999998
anna-kyoyama,"Anna Kyoyama",jabright,90,1,1.62157,2.07918,1.62157,2.0791700000000004,1,1.0000048096115275
anna-kyoyama,"Anna Kyoyama",cmd:f+1,100,1,1.62157,2.07918,1.62157,2.0791700000000004,1,1.0000048096115275
anna-kyoyama,"Anna Kyoyama",cmd:f+1,101,1,1.62156,2.0791800000000005,1.62157,2.0791700000000004,0.9999938331370215,1.0000048096115277
anna-kyoyama,"Anna Kyoyama",cmd:f+1,102,1,1.6215700000000002,2.0791600000000003,1.62157,2.0791700000000004,1.0000000000000002,0.9999951903884723
anna-kyoyama,"Anna Kyoyama",cmd:f+1,103,1,1.6215600000000001,2.0791800000000005,1.62157,2.0791700000000004,0.9999938331370216,1.0000048096115277
anna-kyoyama,"Anna Kyoyama",cmd:f+1,104,1,1.62157,2.07917,1.62157,2.0791700000000004,1,0.9999999999999998
anna-kyoyama,"Anna Kyoyama",cmd:f+1,105,1,1.62157,2.07917,1.62157,2.0791700000000004,1,0.9999999999999998
anna-kyoyama,"Anna Kyoyama",cmd:f+1,106,1,1.62158,2.07917,1.62157,2.0791700000000004,1.0000061668629785,0.9999999999999998
anna-kyoyama,"Anna Kyoyama",cmd:f+1,107,1,1.62158,2.07918,1.62157,2.0791700000000004,1.0000061668629785,1.0000048096115275
anna-kyoyama,"Anna Kyoyama",cmd:f+1,108,1,1.62157,2.0791600000000003,1.62157,2.0791700000000004,1,0.9999951903884723
anna-kyoyama,"Anna Kyoyama",cmd:f+1,109,1,1.62156,2.07917,1.62157,2.0791700000000004,0.9999938331370215,0.9999999999999998
anna-kyoyama,"Anna Kyoyama",cmd:qcf+4,157,1,1.62157,2.07917,1.62157,2.0791700000000004,1,0.9999999999999998
